speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,scenario,time_saved
149.11336440222334,265.0,61.67414832072414,44.45838623522608,100.0,25.925925925925924,0.23671497584541062,147,9244.753890254626,11840.0,3.5571658615136874,32,0.0,621,79.367,2.0,79.367,MEDIUM,2.0,47069.20681409606,1,47069.20681409606,0.3754301262347126,78.129,79.5955990166296,30% Improved Tire,0.44571315043378945
150.9108678468342,264.0,62.45921313096592,44.59883981503059,100.0,28.05872756933116,0.265905383360522,163,9255.412590940694,11754.0,3.6623164763458402,33,0.0,613,79.074,3.0,79.074,MEDIUM,3.0,48255.667888107906,1,95324.87470220396,0.6145133616006222,78.129,80.52956572142476,30% Improved Tire,0.5050388124954281
151.5014710805169,265.0,61.65964938127252,44.42211868956645,100.0,26.85810810810811,0.25506756756756754,151,9261.108743798015,11753.0,3.6908783783783785,38,0.0,592,78.129,4.0,78.129,MEDIUM,4.0,45137.49706296017,1,140462.37176516413,0.7545405988821177,78.129,81.07657512250306,30% Improved Tire,0.43367495164757486
151.7825589336021,266.0,61.63243899280947,46.1472928413681,100.0,28.688524590163933,0.2360655737704918,144,9331.723606955196,11818.0,3.636065573770492,34,0.0,610,78.019,5.0,78.019,MEDIUM,5.0,46382.26980424302,1,186844.64156940716,0.845636707988042,78.129,81.4324375179199,30% Improved Tire,0.3322680971018883
150.4826937163752,266.0,61.086440044751185,45.023210807208116,100.0,27.068965517241377,0.2689655172413793,156,9253.415877106545,11731.0,3.660344827586207,37,0.0,580,77.64,6.0,77.64,MEDIUM,6.0,43544.2932168002,1,230388.93478620736,0.9001303404697301,78.129,81.64531416852799,30% Improved Tire,0.24479030989475348
152.83538998122737,265.0,61.707335812890506,45.5610948501141,100.0,28.161888701517707,0.24620573355817876,146,9266.111325221866,11658.0,3.7554806070826308,40,0.0,593,77.633,7.0,77.633,MEDIUM,7.0,45298.221262066916,1,275687.15604827425,0.9365099171253674,78.129,81.7874291657544,30% Improved Tire,0.17192478344702522
153.48961225430847,265.0,61.894241032727,45.49387383856044,100.0,28.37837837837838,0.2516891891891892,149,9248.194496552427,11701.0,3.761824324324324,37,0.0,592,77.397,8.0,77.397,MEDIUM,8.0,45615.74883277105,1,321302.90488104534,0.9597654439274627,78.129,81.87827571843044,30% Improved Tire,0.11751429383316747
154.35311038380186,263.0,61.12017930688109,47.27995214793507,100.0,30.94017094017094,0.2547008547008547,149,9363.537453453306,11799.0,3.7452991452991453,40,0.0,585,77.031,9.0,77.031,MEDIUM,9.0,44149.64079565078,1,365452.5456766961,0.974126227205855,78.129,81.93437540026832,30% Improved Tire,0.0799669892951016
153.74998733963133,267.0,61.98500918327147,47.15541549460929,100.0,30.3236797274276,0.2453151618398637,144,9318.038586901333,11767.0,3.7512776831345827,39,0.0,587,77.084,10.0,77.084,MEDIUM,10.0,45352.147870275105,1,410804.6935469712,0.983560148717468,78.129,81.97122854295736,30% Improved Tire,0.053179019228934976
154.0573933901197,266.0,62.36468164928181,47.142279580769284,100.0,30.574324324324326,0.23986486486486486,142,9355.14906321023,11822.0,3.738175675675676,39,0.0,592,76.858,11.0,76.858,MEDIUM,11.0,46247.10559466992,1,457051.7991416411,0.989647404227253,78.129,81.99500810224356,30% Improved Tire,0.034738438397283744
